Organ	Species	Sex	Mouse	SC	FN
Bra	DOM	F	DOM11	DOM11Bra	H35129
Bra	DOM	F	DOM12	DOM12Bra	H35135
Bra	DOM	F	DOM13	DOM13Bra	H35141
Bra	DOM	F	DOM14	DOM14Bra	H35147
Bra	DOM	F	DOM15	DOM15Bra	H35153
Bra	DOM	F	DOM16	DOM16Bra	H35159
Bra	DOM	F	DOM17	DOM17Bra	H35171
Bra	DOM	F	DOM18	DOM18Bra	H35165
Bra	DOM	F	DOM19	DOM19Bra	H35177
Bra	DOM	M	DOM62	DOM62Bra	H35140
Bra	DOM	M	DOM63	DOM63Bra	H35146
Bra	DOM	M	DOM64	DOM64Bra	H35152
Bra	DOM	M	DOM65	DOM65Bra	H35158
Bra	DOM	M	DOM66	DOM66Bra	H35164
Bra	DOM	M	DOM67	DOM67Bra	H35170
Bra	DOM	M	DOM68	DOM68Bra	H35176
Bra	DOM	M	DOM69	DOM69Bra	H35182
Bra	DOM	M	DOM70	DOM70Bra	H35188
