Organ	Species	Sex	Mouse	SC	FN	SBI	SBI_scaled
Bra	MUS	F	MUS11	MUS11Bra	J27402	-2.25745189863317	0.442307228998097
Bra	MUS	F	MUS12	MUS12Bra	J27403	0.01699936536275	0.993363913136643
Bra	MUS	F	MUS13	MUS13Bra	J27404	-1.70363420395588	0.576486820918634
Bra	MUS	F	MUS16	MUS16Bra	J27405	-3.28710796180967	0.192840966537787
Bra	MUS	F	MUS17	MUS17Bra	J27406	-4.3570236289797	-0.0663794393647654
Bra	MUS	F	MUS18	MUS18Bra	J27407	-2.40250668214887	0.407163188196729
Bra	MUS	F	MUS22	MUS22Bra	J27408	-2.40568014764514	0.406394317304095
Bra	MUS	F	MUS24	MUS24Bra	J27409	-0.202248750437469	0.940244225936034
Bra	MUS	F	MUS26	MUS26Bra	J27410	0.0443893899986803	1
Bra	MUS	M	MUS61	MUS61Bra	J27412	-4.38618461612665	-0.0734445970745742
Bra	MUS	M	MUS62	MUS62Bra	J27413	-8.21048285622593	-1
Bra	MUS	M	MUS63	MUS63Bra	J27414	-5.23810653168888	-0.279849224584554
Bra	MUS	M	MUS64	MUS64Bra	J27415	-5.85191969093794	-0.428564587085721
Bra	MUS	M	MUS65	MUS65Bra	J27416	-7.82072480487426	-0.905568968307189
Bra	MUS	M	MUS66	MUS66Bra	J27417	-6.84677337321857	-0.669598888430755
Bra	MUS	M	MUS67	MUS67Bra	J27418	-7.76257380620699	-0.891480077060238
Bra	MUS	M	MUS68	MUS68Bra	J27419	-5.2365513881984	-0.279472442620135
Bra	MUS	M	MUS69	MUS69Bra	J27420	-7.36138678350802	-0.794280020964287
