Organ	Species	Sex	Mouse	SC	FN
Bra	MUS	F	MUS11	MUS11Bra	J27402
Bra	MUS	F	MUS12	MUS12Bra	J27403
Bra	MUS	F	MUS13	MUS13Bra	J27404
Bra	MUS	F	MUS16	MUS16Bra	J27405
Bra	MUS	F	MUS17	MUS17Bra	J27406
Bra	MUS	F	MUS18	MUS18Bra	J27407
Bra	MUS	F	MUS22	MUS22Bra	J27408
Bra	MUS	F	MUS24	MUS24Bra	J27409
Bra	MUS	F	MUS26	MUS26Bra	J27410
Bra	MUS	M	MUS61	MUS61Bra	J27412
Bra	MUS	M	MUS62	MUS62Bra	J27413
Bra	MUS	M	MUS63	MUS63Bra	J27414
Bra	MUS	M	MUS64	MUS64Bra	J27415
Bra	MUS	M	MUS65	MUS65Bra	J27416
Bra	MUS	M	MUS66	MUS66Bra	J27417
Bra	MUS	M	MUS67	MUS67Bra	J27418
Bra	MUS	M	MUS68	MUS68Bra	J27419
Bra	MUS	M	MUS69	MUS69Bra	J27420
